model,policy_stem,segment_id,fold_id,gold_labels,predicted_labels,error_type,near_threshold,text,failure_type,notes,taxonomy_version
naive_bayes,988_solarviews.com,0,4,Third-Party Sharing,Data Collection|Third-Party Sharing,false_positive,True,"Privacy Statement We allow third-party companies to serve ads and/or collect certain anonymous information when you visit our web site. These companies may use non-personally identifiable information (e.g., click stream information, browser type, time and date, subject of advertisements clicked or scrolled over) during your visits to this and other Web sites in order to provide advertisements about goods and services likely to be of greater interest to you. These companies typically use a cookie or third party web beacon to collect this information. To learn more about this behavioral advertising practice or to opt-out of this type of advertising, you can visit networkadvertising.org.",near_threshold,The decision is close to the 0.50 cutoff; missing=none; extra=Data Collection.,1.0
naive_bayes,928_stlouisfed.org,17,3,Data Collection|Data Security|Third-Party Sharing,,false_negative,True,"The Federal Reserve Bank of St. Louis monitors this site for unauthorized attempts to upload or change information, to defeat or circumvent security measures, or to utilize this site for other than its intended purposes. By using this site you expressly consent to such monitoring and you are advised that if such monitoring reveals possible evidence of criminal activity, we will provide the evidence of such monitoring to law enforcement officials;",near_threshold,"The decision is close to the 0.50 cutoff; missing=Data Collection, Data Security, Third-Party Sharing; extra=none.",1.0
naive_bayes,1582_msn.com,27,4,Other/Unclear,Data Collection,both,True,"Payment Data Payment Data is the information that you provide when you make online purchases. This may include your payment instrument number (e.g., credit card, PayPal), your name and billing address, and the security code associated with your payment instrument (e.g., the CSV or CVV). This section provides additional information regarding the collection and use of your payment information.",cross_category_confusion,Predicted Data Collection in place of Other/Unclear; shared labels=none.,1.0
naive_bayes,32_voxmedia.com,19,4,Data Collection|Other/Unclear|Third-Party Sharing,Third-Party Sharing,false_negative,True,"Targeted Advertising. In order to serve offers and advertisements that may be interest to our users, we may display targeted advertisements on the Services based on Personal Information provided by our users, including zip code and profile. We do not provide this Personal Information to our advertisers when you interact with such an advertisement. However, please note that the advertisers (including ad serving companies) may determine based on their own analysis that a user who interacts with an advertisement targeted by us may fit into a certain demographic category; for example, an advertiser may determine that men ages 25-34 are interacting with a certain advertisement on the Services from a particular geographic area.",near_threshold,"The decision is close to the 0.50 cutoff; missing=Data Collection, Other/Unclear; extra=none.",1.0
naive_bayes,1300_bankofamerica.com,26,2,User Control & Deletion,Data Collection,both,True,"You can refuse to accept these cookies and most devices and browsers offer their own privacy settings for cookies. You will need to manage your cookie settings for each device and browser you use. However, if you do not accept these cookies, you may experience some inconvenience in your use of the Site and some online products and services. For example, we will not be able to recognize your device and you will need to answer a challenge question each time you log on. You also may not receive tailored advertising or other offers from us that may be relevant to your interests and needs.",cross_category_confusion,Predicted Data Collection in place of User Control & Deletion; shared labels=none.,1.0
naive_bayes,33_nbcuniversal.com,30,1,Data Collection,Other/Unclear,both,True,implement social networking features you have activated; and,cross_category_confusion,Predicted Other/Unclear in place of Data Collection; shared labels=none.,1.0
naive_bayes,1034_aol.com,25,1,Data Collection|Third-Party Sharing,Data Collection,false_negative,True,"If you choose to connect with a social networking service, such as Facebook, we may share information with that service, and that service may share information about you with us. We may use the information for the reasons explained in this Privacy Policy, but the main reason we use it is to make your experience on our Services more personal and social. For example, we might show you what content is popular among your connections on the social networking service or give you a glimpse of what your friends are saying about that content.",near_threshold,The decision is close to the 0.50 cutoff; missing=Third-Party Sharing; extra=none.,1.0
naive_bayes,1224_austincc.edu,1,2,Data Collection|Data Security|Other/Unclear|Third-Party Sharing,Other/Unclear,false_negative,False,"Austin Community College (ACC) is committed to ensuring the privacy of personal information. We do not actively share personal information gathered from our Web servers. However, because ACC is a public institution, some information collected from the ACC web site, including summary server log information, emails, and information collected from Web-based forms, may be subject to. This means that while we do not share or sell information unless solicited, in some cases we may be compelled by Open Records law to release information.",negation_or_permission_flip,"Permission or denial wording changes the interpretation of Third-Party Sharing; missing=Data Collection, Data Security, Third-Party Sharing; extra=none.",1.0
naive_bayes,1610_post-gazette.com,19,1,Data Collection|Other/Unclear,Data Collection,false_negative,False,"5. Cookies This Site uses cookies. ""Cookies"" are small files that a site or its service provider transfers to your computer's hard drive through your Web browser (if you allow) that enables the site's or service provider's systems to recognize your browser and capture and remember certain information. For instance, we use cookies to help us confirm your registration and process the items in your shopping cart. They are also used to help us understand your preferences based on previous or current site activity and compile aggregate data about site traffic and site interaction so that we can offer better site experiences and tools in the future.",multi_label_under_prediction,Kept Data Collection but missed secondary label(s) Other/Unclear.,1.0
naive_bayes,586_cariboucoffee.com,17,1,Data Collection|Other/Unclear,Data Collection,false_negative,False,"We use cookies to enhance the browsing and shopping experience on the Site. ""Cookies"" are small files or records that we place on your computer's hard drive to collect information about your activities on the Site. The information captured makes it possible for us to speed navigation, keep track of items in your shopping cart and provide you with custom tailored content.",multi_label_under_prediction,Kept Data Collection but missed secondary label(s) Other/Unclear.,1.0
