model,failure_type,count,model_total,percent_within_model
distilbert,cross_category_confusion,39,104,37.5
distilbert,multi_label_over_prediction,27,104,26.0
distilbert,near_threshold,25,104,24.0
distilbert,multi_label_under_prediction,8,104,7.7
distilbert,negation_or_permission_flip,5,104,4.8
linear_svm,near_threshold,34,103,33.0
linear_svm,multi_label_under_prediction,26,103,25.2
linear_svm,cross_category_confusion,20,103,19.4
linear_svm,multi_label_over_prediction,18,103,17.5
linear_svm,negation_or_permission_flip,5,103,4.9
logistic_regression,near_threshold,30,103,29.1
logistic_regression,multi_label_over_prediction,24,103,23.3
logistic_regression,multi_label_under_prediction,23,103,22.3
logistic_regression,cross_category_confusion,21,103,20.4
logistic_regression,negation_or_permission_flip,5,103,4.9
naive_bayes,multi_label_under_prediction,35,105,33.3
naive_bayes,near_threshold,25,105,23.8
naive_bayes,cross_category_confusion,21,105,20.0
naive_bayes,negation_or_permission_flip,17,105,16.2
naive_bayes,content_ambiguity,6,105,5.7
naive_bayes,other,1,105,1.0
