scope,key,count,rate
overall,review_required,1430,0.4684
driver,content_unclear,782,0.2561
driver,model_uncertainty,791,0.2591
driver,both_content_and_model,143,0.0468
driver,content_only,639,0.2093
driver,model_only,648,0.2123
review_type,abstention,27,0.0088
review_type,high_attention_near_miss,175,0.0573
review_type,low_confidence,0,0.0
review_type,near_threshold,612,0.2005
review_type,content_unclear,782,0.2561
primary_reason,abstention,27,0.0088
primary_reason,high_attention_near_miss,175,0.0573
primary_reason,low_confidence,0,0.0
primary_reason,near_threshold,589,0.1929
primary_reason,content_unclear,639,0.2093
primary_reason,not_flagged,1623,0.5316
other_unclear_role,only,540,0.1769
other_unclear_role,dominant,242,0.0793
other_unclear_role,secondary,877,0.2873
review_severity,high,202,0.0662
review_severity,medium,639,0.2093
review_severity,low,589,0.1929
