level,category,segments
original,Other,1762
original,First Party Collection/Use,1521
original,Third Party Sharing/Collection,1186
original,User Choice/Control,632
original,Data Security,375
original,International and Specific Audiences,353
original,"User Access, Edit and Deletion",231
original,Policy Change,192
original,Data Retention,156
original,Do Not Track,32
mapped,Other/Unclear,1985
mapped,Data Collection,1521
mapped,Third-Party Sharing,1186
mapped,User Control & Deletion,793
mapped,Data Security,375
mapped,Policy Change,192
mapped,Data Retention,156
