model,category,support,precision,recall,f1
Majority,Data Collection,1244,0.0,0.0,0.0
Majority,Data Retention,128,0.0,0.0,0.0
Majority,Data Security,293,0.0,0.0,0.0
Majority,Other/Unclear,1619,0.5302980674746152,1.0,0.6930650684931506
Majority,Policy Change,153,0.0,0.0,0.0
Majority,Third-Party Sharing,959,0.0,0.0,0.0
Majority,User Control & Deletion,637,0.0,0.0,0.0
Keyword,Data Collection,1244,0.6093321134492223,0.5353697749196141,0.5699614890885751
Keyword,Data Retention,128,0.2747603833865815,0.671875,0.3900226757369615
Keyword,Data Security,293,0.44395604395604393,0.689419795221843,0.5401069518716578
Keyword,Other/Unclear,1619,0.7130044843049327,0.39283508338480544,0.5065710872162486
Keyword,Policy Change,153,0.6966292134831461,0.40522875816993464,0.512396694214876
Keyword,Third-Party Sharing,959,0.6522116218560278,0.7841501564129302,0.7121212121212122
Keyword,User Control & Deletion,637,0.3726872246696035,0.6640502354788069,0.47742663656884876
Naive Bayes,Data Collection,1244,0.8727272727272727,0.6945337620578779,0.7735004476275739
Naive Bayes,Data Retention,128,0.0,0.0,0.0
Naive Bayes,Data Security,293,1.0,0.07167235494880546,0.1337579617834395
Naive Bayes,Other/Unclear,1619,0.8056099151989563,0.762816553428042,0.7836294416243654
Naive Bayes,Policy Change,153,0.0,0.0,0.0
Naive Bayes,Third-Party Sharing,959,0.9486404833836858,0.32742440041710114,0.4868217054263566
Naive Bayes,User Control & Deletion,637,0.9791666666666666,0.07378335949764521,0.13722627737226278
Logistic Regression,Data Collection,1244,0.801593625498008,0.8086816720257235,0.8051220488195278
Logistic Regression,Data Retention,128,0.6020408163265306,0.4609375,0.5221238938053098
Logistic Regression,Data Security,293,0.7440944881889764,0.6450511945392492,0.6910420475319927
Logistic Regression,Other/Unclear,1619,0.834612700628053,0.7387276096355775,0.783748361730013
Logistic Regression,Policy Change,153,0.695906432748538,0.7777777777777778,0.7345679012345679
Logistic Regression,Third-Party Sharing,959,0.7583417593528817,0.7820646506777894,0.7700205338809035
Logistic Regression,User Control & Deletion,637,0.6800573888091822,0.7441130298273155,0.7106446776611695
Linear SVM,Data Collection,1244,0.8189233278955954,0.8070739549839229,0.8129554655870446
Linear SVM,Data Retention,128,0.6575342465753424,0.375,0.47761194029850745
Linear SVM,Data Security,293,0.7822222222222223,0.6006825938566553,0.6795366795366795
Linear SVM,Other/Unclear,1619,0.8174496644295302,0.7523162445954292,0.7835316822129302
Linear SVM,Policy Change,153,0.8188405797101449,0.738562091503268,0.7766323024054983
Linear SVM,Third-Party Sharing,959,0.8004338394793926,0.7695516162669447,0.784688995215311
Linear SVM,User Control & Deletion,637,0.7,0.7032967032967034,0.701644479248238
